feature,coefficient,abs_coefficient
cat__subcategory_sports_news,1.5386209437094465,1.5386209437094465
cat__subcategory_music-gallery,-1.1380227456012102,1.1380227456012102
cat__subcategory_football_nfl_videos,-1.013343098932748,1.013343098932748
cat__subcategory_topnews,0.9806911176466963,0.9806911176466963
cat__subcategory_musicnews,0.868815895319238,0.868815895319238
num__abstract_char_count,-0.762009489844554,0.762009489844554
cat__subcategory_tv-gallery,-0.7612310215345052,0.7612310215345052
cat__subcategory_music-celebrity,0.7608037218643471,0.7608037218643471
cat__subcategory_finance-companies,0.7321344624901617,0.7321344624901617
cat__subcategory_newsopinion,0.6758114735066822,0.6758114735066822
num__abstract_word_count,0.663039677762094,0.663039677762094
cat__subcategory_causes-military-appreciation,-0.6448443731822285,0.6448443731822285
cat__subcategory_movievideo,-0.6429080493004048,0.6429080493004048
cat__subcategory_newsgoodnews,-0.6277644437002451,0.6277644437002451
cat__subcategory_newscrime,0.5801418661597865,0.5801418661597865
cat__subcategory_movies-gallery,-0.521012895294755,0.521012895294755
cat__category_travel,-0.49109868686764896,0.49109868686764896
cat__category_autos,-0.4890653355807797,0.4890653355807797
cat__subcategory_mentalhealth,0.4820253359947864,0.4820253359947864
cat__subcategory_video,-0.4733605229746343,0.4733605229746343
cat__subcategory_tvnews,0.46175179727507165,0.46175179727507165
cat__category_news,-0.4602290221516903,0.4602290221516903
cat__subcategory_animals,0.42439314198114786,0.42439314198114786
cat__subcategory_movies-celebrity,0.42400525046565407,0.42400525046565407
cat__subcategory_movienews,0.4069033981853088,0.4069033981853088
cat__subcategory_fitness,0.40395214016933856,0.40395214016933856
cat__subcategory_finance-savemoney,-0.3900849485628214,0.3900849485628214
cat__subcategory_autosmotorcycles,0.38638690755656263,0.38638690755656263
cat__subcategory_travelnews,0.38056881866072234,0.38056881866072234
cat__subcategory_travelarticle,0.3786736083895211,0.3786736083895211
cat__category_movies,-0.3635868692583783,0.3635868692583783
cat__category_finance,-0.35450886486451133,0.35450886486451133
cat__subcategory_traveltips,-0.35430124655913475,0.35430124655913475
cat__subcategory_elections-2020-us,0.3536968503740654,0.3536968503740654
cat__category_foodanddrink,-0.34654729600027157,0.34654729600027157
cat__subcategory_newsus,0.34143737665774526,0.34143737665774526
cat__subcategory_football_nfl,0.3328905208229634,0.3328905208229634
cat__subcategory_tipsandtricks,-0.32246400788866947,0.32246400788866947
cat__subcategory_videos,-0.32115604145731436,0.32115604145731436
cat__subcategory_indepth,0.3191682001510489,0.3191682001510489
cat__subcategory_healthnews,-0.3172433227170539,0.3172433227170539
cat__subcategory_yearinoffbeatgoodnews,-0.316002067850739,0.316002067850739
cat__subcategory_soccer,-0.3108471500247072,0.3108471500247072
cat__subcategory_awards,-0.3054934013496815,0.3054934013496815
cat__subcategory_humor,-0.29954874118058283,0.29954874118058283
cat__category_entertainment,-0.29837532822926366,0.29837532822926366
cat__subcategory_autostrucks,-0.2890663827934453,0.2890663827934453
cat__subcategory_autosclassics,0.2875475430337229,0.2875475430337229
