feature,importance_gain,importance_split
news_train_ctr,319939.3029785156,25
candidate_pos,100822.63845825195,24
news_train_clicks,32956.64874267578,9
history_subcategory_ratio,26134.640106201172,10
history_subcategory_count,25385.739135742188,12
subcategory,15868.483093261719,22
history_category_ratio,11170.918823242188,9
news_train_impressions,2387.7889709472656,4
hour,1403.3130493164062,2
history_category_count,844.9600219726562,1
category,625.5230102539062,1
history_unique_len,458.8710021972656,1
title_word_count,0.0,0
abstract_word_count,0.0,0
title_char_count,0.0,0
history_len,0.0,0
is_weekend,0.0,0
weekday,0.0,0
abstract_char_count,0.0,0
